Year,Player,Rank,Position,Team,Points,Tgt,Rec,Rec Yds,Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
2010,Andre Johnson,7,WR,HOU,94,138,86,1216,14.1,8,59,60,6.6,93.5,0,8.8,2,10,0,1,7,5,0.8,0.2,88,13.9,1226,8,1,13
2010,Larry Fitzgerald,14,WR,ARI,87,173,90,1137,12.6,6,58,41,5.6,71.1,0,6.6,0,0,0,0,0,0,0,0,90,12.6,1137,6,0,7
2010,Roddy White,24,WR,ATL,77,179,115,1389,12.1,10,73,46,7.2,86.8,0,7.8,1,3,0,0,3,3,0.2,0.1,116,12,1392,10,1,16
2010,Calvin Johnson,27,WR,DET,74,137,77,1120,14.5,12,54,87,5.1,74.7,0,8.2,4,32,0,2,15,8,2.1,0.3,81,14.2,1152,12,1,10
2010,DeSean Jackson,29,WR,PHI,72,95,47,1056,22.5,6,32,91,3.4,75.4,0,11.1,16,104,1,5,31,6.5,7.4,1.1,63,18.4,1160,7,4,11
2010,Reggie Wayne,31,WR,IND,70,175,111,1355,12.2,6,72,50,6.9,84.7,0,7.7,0,0,0,0,0,0,0,0,111,12.2,1355,6,1,13
2010,Dwayne Bowe,45,WR,KC,56,133,72,1162,16.1,15,55,75,4.5,72.6,0,8.7,1,4,0,0,4,4,0.3,0.1,73,16,1166,15,1,13
2010,Wes Welker,50,WR,NE,51,123,86,848,9.9,7,47,35,5.7,56.5,0,6.9,0,0,0,0,0,0,0,0,86,9.9,848,7,1,11
2010,Marques Colston,53,WR,NOR,48,131,84,1023,12.2,7,57,43,5.6,68.2,0,7.8,1,1,0,0,1,1,0.1,0.1,85,12,1024,7,0,9
2010,Brandon Lloyd,58,WR,DEN,43,153,77,1448,18.8,11,72,71,4.8,90.5,0,9.5,1,-18,0,0,-18,-18,-1.1,0.1,78,18.3,1430,11,0,12
2010,Brandon Marshall,61,WR,MIA,40,146,86,1014,11.8,3,56,46,6.1,72.4,0,6.9,2,3,0,0,4,1.5,0.2,0.1,88,11.6,1017,3,2,6
2010,Miles Austin,70,WR,DAL,31,119,69,1041,15.1,7,46,69,4.3,65.1,0,8.7,7,93,1,3,60,13.3,5.8,0.4,76,14.9,1134,8,1,10
2010,Greg Jennings,74,WR,GB,27,125,76,1265,16.6,12,51,86,4.8,79.1,0,10.1,1,-1,0,0,-1,-1,-0.1,0.1,77,16.4,1264,12,2,11
2010,Santonio Holmes,76,WR,NYJ,25,96,52,746,14.3,6,35,52,4.3,62.2,0,7.8,2,17,0,0,14,8.5,1.4,0.2,54,14.1,763,6,2,6
2010,Mike Williams,83,WR,TB,18,129,65,964,14.8,11,44,58,4.1,60.3,0,7.5,0,0,0,0,0,0,0,0,65,14.8,964,11,3,9
2010,Terrell Owens,91,WR,CIN,10,139,72,983,13.7,9,47,78,5.1,70.2,0,7.1,0,0,0,0,0,0,0,0,72,13.7,983,9,0,8
2011,Calvin Johnson,3,WR,DET,98,158,96,1681,17.5,16,76,73,6,105.1,0,10.6,1,11,0,0,11,11,0.7,0.1,97,17.4,1692,16,1,15
2011,Larry Fitzgerald,7,WR,ARI,94,154,80,1411,17.6,8,60,73,5,88.2,0,9.2,0,0,0,0,0,0,0,0,80,17.6,1411,8,0,10
2011,Andre Johnson,15,WR,HOU,86,51,33,492,14.9,2,23,50,4.7,70.3,0,9.6,1,8,0,0,8,8,1.1,0.1,34,14.7,500,2,0,4
2011,Wes Welker,23,WR,NE,78,173,122,1569,12.9,9,77,99,7.6,98.1,0,9.1,4,30,0,2,19,7.5,1.9,0.3,126,12.7,1599,9,1,17
2011,Steve Smith,35,WR,CAR,66,129,79,1394,17.6,7,53,77,4.9,87.1,0,10.8,6,56,0,3,23,9.3,3.5,0.4,85,17.1,1450,7,3,14
2011,Victor Cruz,39,WR,NYG,62,131,82,1536,18.7,9,59,99,5.1,96,0,11.7,1,3,0,0,3,3,0.2,0.1,83,18.5,1539,9,1,13
2011,Mike Wallace,47,WR,PIT,54,114,72,1193,16.6,8,53,95,4.5,74.6,0,10.5,5,57,0,4,21,11.4,3.6,0.3,77,16.2,1250,8,1,10
2011,Greg Jennings,56,WR,GB,45,101,67,949,14.2,9,43,79,5.2,73,0,9.4,0,0,0,0,0,0,0,0,67,14.2,949,9,0,12
2011,Roddy White,65,WR,ATL,36,180,100,1296,13,8,77,43,6.3,81,0,7.2,0,0,0,0,0,0,0,0,100,13,1296,8,0,13
2011,DeSean Jackson,71,WR,PHI,30,104,58,961,16.6,4,39,62,3.9,64.1,0,9.2,7,41,0,2,18,5.9,2.7,0.5,65,15.4,1002,4,1,8
2011,A. J. Green,77,WR,CIN,24,115,65,1057,16.3,7,40,58,4.3,70.5,0,9.2,5,53,0,3,22,10.6,3.5,0.3,70,15.9,1110,7,1,10
2011,Jordy Nelson,80,WR,GB,21,96,68,1263,18.6,15,47,93,4.3,78.9,0,13.2,0,0,0,0,0,0,0,0,68,18.6,1263,15,0,15
2011,Hakeem Nicks,90,WR,NYG,11,133,76,1192,15.7,7,54,68,5.1,79.5,0,9,0,0,0,0,0,0,0,0,76,15.7,1192,7,0,10
2012,Calvin Johnson,3,WR,DET,98,204,122,1964,16.1,5,92,53,7.6,122.8,0,9.6,0,0,0,0,0,0,0,0,122,16.1,1964,5,3,14
2012,Andre Johnson,14,WR,HOU,87,162,112,1598,14.3,4,79,60,7,99.9,0,9.9,0,0,0,0,0,0,0,0,112,14.3,1598,4,0,13
2012,A. J. Green,16,WR,CIN,85,164,97,1350,13.9,11,61,73,6.1,84.4,0,8.2,4,38,0,2,20,9.5,2.4,0.3,101,13.7,1388,11,2,13
2012,Reggie Wayne,21,WR,IND,80,195,106,1355,12.8,5,73,33,6.6,84.7,0,6.9,1,-5,0,0,-5,-5,-0.3,0.1,107,12.6,1350,5,1,11
2012,Larry Fitzgerald,22,WR,ARI,79,156,71,798,11.2,4,45,37,4.4,49.9,0,5.1,0,0,0,0,0,0,0,0,71,11.2,798,4,0,5
2012,Julio Jones,26,WR,ATL,75,128,79,1198,15.2,10,56,80,4.9,74.9,0,9.4,6,30,0,3,18,5,1.9,0.4,85,14.4,1228,10,0,13
2012,Brandon Marshall,27,WR,CHI,74,192,118,1508,12.8,11,74,56,7.4,94.3,0,7.9,1,-2,0,0,-2,-2,-0.1,0.1,119,12.7,1506,11,2,14
2012,Dez Bryant,35,WR,DAL,66,138,92,1382,15,12,54,85,5.8,86.4,0,10,2,-5,0,0,6,-2.5,-0.3,0.1,94,14.6,1377,12,5,11
2012,Roddy White,39,WR,ATL,62,142,92,1351,14.7,7,73,59,5.8,84.4,0,9.5,0,0,0,0,0,0,0,0,92,14.7,1351,7,1,14
2012,Wes Welker,44,WR,NE,57,174,118,1354,11.5,6,71,59,7.4,84.6,0,7.8,2,20,0,2,11,10,1.3,0.1,120,11.5,1374,6,3,15
2012,Vincent Jackson,52,WR,TB,49,147,72,1384,19.2,8,61,95,4.5,86.5,0,9.4,0,0,0,0,0,0,0,0,72,19.2,1384,8,0,12
2012,Victor Cruz,58,WR,NYG,43,143,86,1092,12.7,10,52,80,5.4,68.3,0,7.6,0,0,0,0,0,0,0,0,86,12.7,1092,10,0,12
2012,Dwayne Bowe,65,WR,KC,36,114,59,801,13.6,3,44,47,4.5,61.6,0,7,0,0,0,0,0,0,0,0,59,13.6,801,3,1,5
2012,Demaryius Thomas,68,WR,DEN,33,143,94,1434,15.3,10,60,71,5.9,89.6,0,10,0,0,0,0,0,0,0,0,94,15.3,1434,10,3,13
2012,Steve Smith,84,WR,CAR,17,137,73,1174,16.1,4,52,66,4.6,73.4,0,8.6,3,27,0,1,15,9,1.7,0.2,76,15.8,1201,4,1,10
2012,Percy Harvin,90,WR,MIN,11,85,62,677,10.9,3,37,45,6.9,75.2,0,8,22,96,1,7,20,4.4,10.7,2.4,84,9.2,773,4,2,10
2012,Anquan Boldin,93,WR,BAL,8,112,65,921,14.2,4,45,43,4.3,61.4,0,8.2,1,3,0,0,3,3,0.2,0.1,66,14,924,4,0,9
2013,Calvin Johnson,2,WR,DET,99,156,84,1492,17.8,12,69,87,6,106.6,0,9.6,0,0,0,0,0,0,0,0,84,17.8,1492,12,1,12
2013,A. J. Green,9,WR,CIN,92,178,98,1426,14.6,11,65,82,6.1,89.1,0,8,0,0,0,0,0,0,0,0,98,14.6,1426,11,1,13
2013,Josh Gordon,16,WR,CLV,85,159,87,1646,18.9,9,64,95,6.2,117.6,0,10.4,5,88,0,4,34,17.6,6.3,0.4,92,18.8,1734,9,0,10
2013,Andre Johnson,21,WR,HOU,80,181,109,1407,12.9,5,69,62,6.8,87.9,0,7.8,0,0,0,0,0,0,0,0,109,12.9,1407,5,0,8
2013,Antonio Brown,23,WR,PIT,78,167,110,1499,13.6,8,70,56,6.9,93.7,0,9,7,4,0,2,10,0.6,0.3,0.4,117,12.8,1503,8,1,14
2013,Dez Bryant,25,WR,DAL,76,159,93,1233,13.3,13,68,79,5.8,77.1,0,7.8,1,1,0,0,1,1,0.1,0.1,94,13.1,1234,13,3,12
2013,Brandon Marshall,36,WR,CHI,65,164,100,1295,13,12,70,44,6.3,80.9,0,7.9,0,0,0,0,0,0,0,0,100,13,1295,12,0,12
2013,Larry Fitzgerald,38,WR,ARI,63,135,82,954,11.6,10,49,75,5.1,59.6,0,7.1,2,8,0,0,4,4,0.5,0.1,84,11.5,962,10,1,7
2013,Vincent Jackson,44,WR,TB,57,160,78,1224,15.7,7,60,60,4.9,76.5,0,7.7,1,0,0,0,0,0,0,0.1,79,15.5,1224,7,1,10
2013,Demaryius Thomas,49,WR,DEN,52,142,92,1430,15.5,14,66,78,5.8,89.4,0,10.1,0,0,0,0,0,0,0,0,92,15.5,1430,14,2,13
2013,Alshon Jeffery,54,WR,CHI,47,148,89,1421,16,7,62,80,5.6,88.8,0,9.6,16,105,0,7,38,6.6,6.6,1,105,14.5,1526,7,3,14
2013,DeSean Jackson,63,WR,PHI,38,126,82,1332,16.2,9,60,61,5.1,83.3,0,10.6,3,2,0,0,8,0.7,0.1,0.2,85,15.7,1334,9,1,11
2013,Wes Welker,73,WR,DEN,28,111,73,778,10.7,10,49,33,5.6,59.8,0,7,0,0,0,0,0,0,0,0,73,10.7,778,10,1,7
2013,Pierre Garçon,80,WR,WAS,21,181,113,1346,11.9,5,61,53,7.1,84.1,0,7.4,2,19,0,1,10,9.5,1.2,0.1,115,11.9,1365,5,1,9
2013,Jordy Nelson,83,WR,GB,18,127,85,1314,15.5,8,60,76,5.3,82.1,0,10.3,0,0,0,0,0,0,0,0,85,15.5,1314,8,0,11
2014,Calvin Johnson,6,WR,DET,95,128,71,1077,15.2,8,59,67,5.5,82.8,0,8.4,0,0,0,0,0,0,0,0,71,15.2,1077,8,0,9
2014,Antonio Brown,8,WR,PIT,93,181,129,1698,13.2,13,87,63,8.1,106.1,0,9.4,4,13,0,0,9,3.3,0.8,0.3,133,12.9,1711,13,2,16
2014,Julio Jones,13,WR,ATL,88,163,104,1593,15.3,6,76,79,6.9,106.2,0,9.8,1,1,0,1,1,1,0.1,0.1,105,15.2,1594,6,2,14
2014,Dez Bryant,15,WR,DAL,86,136,88,1320,15,16,60,68,5.5,82.5,0,9.7,0,0,0,0,0,0,0,0,88,15,1320,16,1,14
2014,Jordy Nelson,18,WR,GB,83,151,98,1519,15.5,13,71,80,6.1,94.9,0,10.1,0,0,0,0,0,0,0,0,98,15.5,1519,13,0,19
2014,Demaryius Thomas,20,WR,DEN,81,184,111,1619,14.6,11,69,86,6.9,101.2,0,8.8,0,0,0,0,0,0,0,0,111,14.6,1619,11,0,16
2014,Odell Beckham Jr.,32,WR,NYG,69,130,91,1305,14.3,12,58,80,7.6,108.8,0,10,7,35,0,2,13,5,2.9,0.6,98,13.7,1340,12,1,11
2014,T.Y. Hilton,35,WR,IND,66,131,82,1345,16.4,7,64,73,5.5,89.7,0,10.3,2,20,0,1,15,10,1.3,0.1,84,16.3,1365,7,3,12
2014,A. J. Green,37,WR,CIN,64,117,69,1041,15.1,6,46,81,5.3,80.1,0,8.9,2,2,0,0,5,1,0.2,0.2,71,14.7,1043,6,3,9
2014,DeSean Jackson,50,WR,WAS,51,95,56,1169,20.9,6,37,81,3.7,77.9,0,12.3,4,7,0,1,9,1.8,0.5,0.3,60,19.6,1176,6,0,8
2014,Steve Smith,54,WR,BAL,47,134,79,1065,13.5,6,45,80,4.9,66.6,0,7.9,0,0,0,0,0,0,0,0,79,13.5,1065,6,1,10
2014,Brandon Marshall,57,WR,CHI,44,106,61,721,11.8,8,41,47,4.7,55.5,0,6.8,0,0,0,0,0,0,0,0,61,11.8,721,8,1,6
2014,Jeremy Maclin,61,WR,PHI,40,143,85,1318,15.5,10,56,72,5.3,82.4,0,9.2,0,0,0,0,0,0,0,0,85,15.5,1318,10,0,9
2014,Larry Fitzgerald,68,WR,ARI,33,103,63,784,12.4,2,39,80,4.5,56,0,7.6,0,0,0,0,0,0,0,0,63,12.4,784,2,1,6
2014,Mike Evans,75,WR,TB,26,122,68,1051,15.5,12,46,56,4.5,70.1,0,8.6,0,0,0,0,0,0,0,0,68,15.5,1051,12,0,8
2014,Golden Tate,85,WR,DET,16,144,99,1331,13.4,4,61,73,6.2,83.2,0,9.2,5,30,0,1,13,6,1.9,0.3,104,13.1,1361,4,1,11
2014,Julian Edelman,91,WR,NE,10,134,92,972,10.6,4,50,69,6.6,69.4,0,7.3,10,94,0,7,25,9.4,6.7,0.7,102,10.5,1066,4,5,13
2014,Emmanuel Sanders,95,WR,DEN,6,141,101,1404,13.9,9,69,48,6.3,87.8,0,10,8,44,0,3,13,5.5,2.8,0.5,109,13.3,1448,9,1,15
2014,Randall Cobb,100,WR,GB,1,127,91,1287,14.1,12,71,70,5.7,80.4,0,10.1,11,37,0,1,12,3.4,2.3,0.7,102,13,1324,12,4,16
