Year,Player,Rank,Position,Team,Points,Tgt,Rec,Rec Yds,Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
2015,Antonio Brown,4,WR,PIT,97,193,136,1834,13.5,10,84,59,8.5,114.6,0,9.5,3,28,0,1,16,9.3,1.8,0.2,139,13.4,1862,10,3,16
2015,Julio Jones,8,WR,ATL,93,203,136,1871,13.8,8,93,70,8.5,116.9,0,9.2,0,0,0,0,0,0,0,0,136,13.8,1871,8,3,16
2015,Odell Beckham Jr.,10,WR,NYG,91,158,96,1450,15.1,13,68,87,6.4,96.7,0,9.2,1,3,0,1,3,3,0.2,0.1,97,15,1453,13,2,13
2015,A.J. Green,16,WR,CIN,85,132,86,1297,15.1,10,63,80,5.4,81.1,0,9.8,0,0,0,0,0,0,0,0,86,15.1,1297,10,1,13
2015,DeAndre Hopkins,19,WR,HOU,82,192,111,1521,13.7,11,83,61,6.9,95.1,0,7.9,0,0,0,0,0,0,0,0,111,13.7,1521,11,1,11
2015,Brandon Marshall,25,WR,NYJ,76,173,109,1502,13.8,14,76,69,6.8,93.9,0,8.7,0,0,0,0,0,0,0,0,109,13.8,1502,14,3,13
2015,Larry Fitzgerald,27,WR,ARI,74,145,109,1215,11.1,9,65,44,6.8,75.9,0,8.4,0,0,0,0,0,0,0,0,109,11.1,1215,9,2,11
2015,Allen Robinson,31,WR,JAX,70,151,80,1400,17.5,14,61,90,5,87.5,0,9.3,0,0,0,0,0,0,0,0,80,17.5,1400,14,0,11
2015,Dez Bryant,51,WR,DAL,50,72,31,401,12.9,3,18,51,3.4,44.6,0,5.6,0,0,0,0,0,0,0,0,31,12.9,401,3,0,2
2015,Demaryius Thomas,62,WR,DEN,39,177,105,1304,12.4,6,63,72,6.6,81.5,0,7.4,0,0,0,0,0,0,0,0,105,12.4,1304,6,2,9
2015,Doug Baldwin,72,WR,SEA,29,103,78,1069,13.7,14,49,80,4.9,66.8,0,10.4,0,0,0,0,0,0,0,0,78,13.7,1069,14,1,12
2015,Emmanuel Sanders,74,WR,DEN,27,136,76,1135,14.9,6,51,75,5.1,75.7,0,8.3,3,29,0,1,24,9.7,1.9,0.2,79,14.7,1164,6,2,8
2015,Julian Edelman,87,WR,NE,14,88,61,692,11.3,7,37,59,6.8,76.9,0,7.9,3,23,0,3,12,7.7,2.6,0.3,64,11.2,715,7,1,7
2015,Allen Hurns,89,WR,JAX,12,105,64,1031,16.1,10,49,80,4.3,68.7,0,9.8,0,0,0,0,0,0,0,0,64,16.1,1031,10,2,8
2015,Jeremy Maclin,93,WR,KC,8,124,87,1088,12.5,8,50,61,5.8,72.5,0,8.8,3,14,0,1,18,4.7,0.9,0.2,90,12.2,1102,8,2,11
2015,Sammy Watkins,96,WR,BUF,5,96,60,1047,17.5,9,41,63,4.6,80.5,0,10.9,1,1,0,0,1,1,0.1,0.1,61,17.2,1048,9,0,10
2015,Jarvis Landry,98,WR,MIA,3,166,110,1157,10.5,4,60,50,6.9,72.3,0,7,18,113,1,8,22,6.3,7.1,1.1,128,9.9,1270,5,1,9
2016,Julio Jones,3,WR,ATL,98,129,83,1409,17,6,64,75,5.9,100.6,0,10.9,0,0,0,0,0,0,0,0,83,17,1409,6,0,16
2016,Antonio Brown,4,WR,PIT,97,154,106,1284,12.1,12,64,51,7.1,85.6,0,8.3,3,9,0,1,13,3,0.6,0.2,109,11.9,1293,12,0,12
2016,Odell Beckham Jr.,8,WR,NYG,93,169,101,1367,13.5,10,66,75,6.3,85.4,0,8.1,1,9,0,0,9,9,0.6,0.1,102,13.5,1376,10,3,10
2016,A.J. Green,17,WR,CIN,84,100,66,964,14.6,4,42,54,6.6,96.4,0,9.6,0,0,0,0,0,0,0,0,66,14.6,964,4,0,7
2016,Mike Evans,29,WR,TB,72,173,96,1321,13.8,12,82,45,6,82.6,0,7.6,0,0,0,0,0,0,0,0,96,13.8,1321,12,0,10
2016,Tyreek Hill,36,WR,KC,65,83,61,593,9.7,6,31,49,3.8,37.1,0,7.1,24,267,3,11,70,11.1,16.7,1.5,85,10.1,860,9,4,10
2016,Jarvis Landry,42,WR,MIA,59,131,94,1136,12.1,4,53,71,5.9,71,0,8.7,5,17,0,1,13,3.4,1.1,0.3,99,11.6,1153,4,2,10
2016,Larry Fitzgerald,45,WR,ARI,56,150,107,1023,9.6,6,60,33,6.7,63.9,0,6.8,2,5,0,0,4,2.5,0.3,0.1,109,9.4,1028,6,2,9
2016,Jordy Nelson,48,WR,GB,53,152,97,1257,13,14,62,60,6.1,78.6,0,8.3,0,0,0,0,0,0,0,0,97,13,1257,14,1,12
2016,Amari Cooper,53,WR,LV,48,132,83,1153,13.9,5,49,64,5.2,72.1,0,8.7,1,0,0,0,0,0,0,0.1,84,13.7,1153,5,2,10
2016,Dez Bryant,60,WR,DAL,41,96,50,796,15.9,8,38,56,3.8,61.2,0,8.3,0,0,0,0,0,0,0,0,50,15.9,796,8,1,8
2016,T.Y. Hilton,61,WR,IND,40,155,91,1448,15.9,6,66,63,5.7,90.5,0,9.3,0,0,0,0,0,0,0,0,91,15.9,1448,6,0,14
2016,Julian Edelman,71,WR,NE,30,159,98,1106,11.3,3,56,77,6.1,69.1,0,7,12,57,0,3,9,4.8,3.6,0.8,110,10.6,1163,3,3,11
2016,Doug Baldwin,88,WR,SEA,13,125,94,1128,12,7,51,59,5.9,70.5,0,9,3,2,0,0,4,0.7,0.1,0.2,97,11.6,1130,7,1,10
2017,Antonio Brown,2,WR,PIT,99,163,101,1533,15.2,9,69,57,7.2,109.5,0,9.4,0,0,0,0,0,0,0,0,101,15.2,1533,9,4,14
2017,Julio Jones,4,WR,ATL,97,148,88,1444,16.4,3,67,53,5.5,90.3,0,9.8,1,15,0,1,15,15,0.9,0.1,89,16.4,1459,3,0,14
2017,DeAndre Hopkins,13,WR,HOU,88,174,96,1378,14.4,13,69,72,6.4,91.9,0,7.9,0,0,0,0,0,0,0,0,96,14.4,1378,13,1,10
2017,A. J. Green,22,WR,CIN,79,143,75,1078,14.4,8,55,77,4.7,67.4,0,7.5,0,0,0,0,0,0,0,0,75,14.4,1078,8,2,10
2017,Larry Fitzgerald,27,WR,ARI,74,161,109,1156,10.6,6,65,37,6.8,72.3,0,7.2,0,0,0,0,0,0,0,0,109,10.6,1156,6,1,8
2017,Adam Thielen,36,WR,MIN,65,142,91,1276,14,4,59,65,5.7,79.8,0,9,1,11,0,1,11,11,0.7,0.1,92,14,1287,4,3,13
2017,Tyreek Hill,40,WR,KC,61,105,75,1183,15.8,7,40,79,5,78.9,0,11.3,17,59,0,3,16,3.5,3.9,1.1,92,13.5,1242,7,2,13
2017,Keenan Allen,41,WR,LAC,60,159,102,1393,13.7,6,74,51,6.4,87.1,0,8.8,2,9,0,0,6,4.5,0.6,0.1,104,13.5,1402,6,1,11
2017,Davante Adams,45,WR,GB,56,117,74,885,12,10,46,55,5.3,63.2,0,7.6,0,0,0,0,0,0,0,0,74,12,885,10,0,8
2017,Jarvis Landry,52,WR,MIA,49,161,112,987,8.8,9,62,49,7,61.7,0,6.1,1,-7,0,0,-7,-7,-0.4,0.1,113,8.7,980,9,4,7
2017,Stefon Diggs,65,WR,MIN,36,95,64,849,13.3,8,42,59,4.6,60.6,0,8.9,8,13,0,1,9,1.6,0.9,0.6,72,12,862,8,0,9
2017,Odell Beckham Jr.,77,WR,NYG,24,41,25,302,12.1,3,14,48,6.3,75.5,0,7.4,1,8,0,0,8,8,2,0.3,26,11.9,310,3,0,2
2017,Michael Thomas,81,WR,NOR,20,149,104,1245,12,5,71,43,6.5,77.8,0,8.4,0,0,0,0,0,0,0,0,104,12,1245,5,0,14
2017,Doug Baldwin,99,WR,SEA,2,116,75,991,13.2,8,44,54,4.7,61.9,0,8.5,2,-8,0,0,-3,-4,-0.5,0.1,77,12.8,983,8,0,8
2018,Antonio Brown,7,WR,PIT,94,168,104,1297,12.5,15,63,78,6.9,86.5,0,7.7,0,0,0,0,0,0,0,0,104,12.5,1297,15,0,10
2018,Julio Jones,9,WR,ATL,92,170,113,1677,14.8,8,80,58,7.1,104.8,0,9.9,2,12,0,1,11,6,0.8,0.1,115,14.7,1689,8,2,14
2018,DeAndre Hopkins,11,WR,HOU,90,163,115,1572,13.7,11,85,49,7.2,98.3,0,9.6,1,-7,0,0,-7,-7,-0.4,0.1,116,13.5,1565,11,2,13
2018,Michael Thomas,13,WR,NOR,88,147,125,1405,11.2,9,82,72,7.8,87.8,0,9.6,0,0,0,0,0,0,0,0,125,11.2,1405,9,2,15
2018,Tyreek Hill,19,WR,KC,82,137,87,1479,17,12,66,75,5.4,92.4,0,10.8,22,151,1,8,33,6.9,9.4,1.4,109,15,1630,13,0,18
2018,Odell Beckham Jr.,23,WR,NYG,78,124,77,1052,13.7,6,50,51,6.4,87.7,0,8.5,5,19,0,2,11,3.8,1.6,0.4,82,13.1,1071,6,2,9
2018,Adam Thielen,33,WR,MIN,68,153,113,1373,12.2,9,74,68,7.1,85.8,0,9,5,30,0,1,15,6,1.9,0.3,118,11.9,1403,9,1,11
2018,Davante Adams,35,WR,GB,66,169,111,1386,12.5,13,64,57,7.4,92.4,0,8.2,0,0,0,0,0,0,0,0,111,12.5,1386,13,0,10
2018,Keenan Allen,38,WR,LAC,63,136,97,1196,12.3,6,66,54,6.1,74.8,0,8.8,9,75,0,4,28,8.3,4.7,0.6,106,12,1271,6,3,12
2018,JuJu Smith-Schuster,47,WR,PIT,54,166,111,1426,12.8,7,67,97,6.9,89.1,0,8.6,1,13,0,1,13,13,0.8,0.1,112,12.8,1439,7,1,11
2018,Mike Evans,53,WR,TB,48,138,86,1524,17.7,8,68,72,5.4,95.3,0,11,0,0,0,0,0,0,0,0,86,17.7,1524,8,2,11
2018,A.J. Green,58,WR,CIN,43,77,46,694,15.1,6,37,38,5.1,77.1,0,9,0,0,0,0,0,0,0,0,46,15.1,694,6,2,6
2018,Larry Fitzgerald,60,WR,ARI,41,112,69,734,10.6,6,39,37,4.3,45.9,0,6.6,0,0,0,0,0,0,0,0,69,10.6,734,6,0,5
2018,Amari Cooper,64,WR,DAL,37,107,75,1005,13.4,7,58,90,5,67,0,9.4,2,20,0,1,11,10,1.3,0.1,77,13.3,1025,7,2,8
2018,T.Y. Hilton,70,WR,IND,31,120,76,1270,16.7,6,62,68,5.4,90.7,0,10.6,0,0,0,0,0,0,0,0,76,16.7,1270,6,0,12
2018,Stefon Diggs,73,WR,MIN,28,149,102,1021,10,9,49,75,6.8,68.1,0,6.9,10,62,0,3,20,6.2,4.1,0.7,112,9.7,1083,9,0,8
2018,Robert Woods,76,WR,LAR,25,130,86,1219,14.2,6,74,39,5.4,76.2,0,9.4,19,157,1,9,56,8.3,9.8,1.2,105,13.1,1376,7,0,14
2018,Jarvis Landry,84,WR,CLV,17,149,81,976,12,4,44,51,5.1,61,0,6.6,3,60,1,2,51,20,3.8,0.2,84,12.3,1036,5,1,7
2018,Julian Edelman,90,WR,NE,11,108,74,850,11.5,6,63,36,6.2,70.8,0,7.9,9,107,0,7,20,11.9,8.9,0.8,83,11.5,957,6,1,9
2018,Tyler Lockett,98,WR,SEA,3,70,57,965,16.9,10,40,52,3.6,60.3,0,13.8,13,69,0,3,18,5.3,4.3,0.8,70,14.8,1034,10,2,10
2019,Michael Thomas,5,WR,NOR,96,185,149,1725,11.6,9,91,49,9.3,107.8,0,9.3,1,-9,0,0,-9,-9,-0.6,0.1,150,11.4,1716,9,1,17
2019,DeAndre Hopkins,8,WR,HOU,93,150,104,1165,11.2,7,68,43,6.9,77.7,0,7.8,2,18,0,2,12,9,1.2,0.1,106,11.2,1183,7,0,11
2019,Julio Jones,11,WR,ATL,90,157,99,1394,14.1,6,77,54,6.6,92.9,0,8.9,2,-3,0,0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1,11
2019,Tyreek Hill,22,WR,KC,79,89,58,860,14.8,7,39,57,4.8,71.7,0,9.7,8,23,0,1,5,2.9,1.9,0.7,66,13.4,883,7,0,9
2019,Mike Evans,30,WR,TB,71,118,67,1157,17.3,8,54,67,5.2,89,0,9.8,0,0,0,0,0,0,0,0,67,17.3,1157,8,0,9
2019,Chris Godwin,38,WR,TB,63,121,86,1333,15.5,9,63,71,6.1,95.2,0,11,1,8,0,0,8,8,0.6,0.1,87,15.4,1341,9,0,10
2019,Amari Cooper,49,WR,DAL,52,119,79,1189,15.1,8,54,53,4.9,74.3,0,10,1,6,0,0,6,6,0.4,0.1,80,14.9,1195,8,0,9
2019,Stefon Diggs,54,WR,MIN,47,94,63,1130,17.9,6,41,66,4.2,75.3,0,12,5,61,0,3,27,12.2,4.1,0.3,68,17.5,1191,6,4,13
2019,Davante Adams,57,WR,GB,44,127,83,997,12,5,54,58,6.9,83.1,0,7.9,0,0,0,0,0,0,0,0,83,12,997,5,2,9
2019,Odell Beckham Jr.,59,WR,CLV,42,133,74,1035,14,4,44,89,4.6,64.7,0,7.8,3,10,0,1,11,3.3,0.6,0.2,77,13.6,1045,4,1,9
2019,Jarvis Landry,61,WR,CLV,40,138,83,1174,14.1,6,55,65,5.2,73.4,0,8.5,1,10,0,1,10,10,0.6,0.1,84,14.1,1184,6,0,10
2019,Tyler Lockett,65,WR,SEA,36,110,82,1057,12.9,8,53,44,5.1,66.1,0,9.6,4,-5,0,0,3,-1.3,-0.3,0.3,86,12.2,1052,8,1,9
2019,Larry Fitzgerald,69,WR,ARI,32,109,75,804,10.7,4,40,54,4.7,50.3,0,7.4,0,0,0,0,0,0,0,0,75,10.7,804,4,1,7
2019,Keenan Allen,77,WR,LAC,24,149,104,1199,11.5,6,63,45,6.5,74.9,0,8,3,16,0,1,18,5.3,1,0.2,107,11.4,1215,6,0,10
2019,DK Metcalf,81,WR,SEA,20,100,58,900,15.5,7,39,54,3.6,56.3,0,9,2,11,0,0,7,5.5,0.7,0.1,60,15.2,911,7,3,8
2019,Cooper Kupp,89,WR,LAR,12,134,94,1161,12.4,10,51,66,5.9,72.6,0,8.7,2,4,0,0,6,2,0.3,0.1,96,12.1,1165,10,3,9
2019,Allen Robinson,93,WR,CHI,8,154,98,1147,11.7,7,63,49,6.1,71.7,0,7.4,1,2,0,0,2,2,0.1,0.1,99,11.6,1149,7,0,9
